id,datetime,action
823197374,2025-04-20T13:29:18+00:00,help
823197374,2025-04-20T13:29:33+00:00,answer
823197374,2025-04-20T13:29:47+00:00,start
823197374,2025-04-20T13:30:14+00:00,answer
823197374,2025-04-20T13:34:27+00:00,answer
823197374,2025-04-20T14:47:32+00:00,help
823197374,2025-04-20T14:48:12+00:00,start
823197374,2025-04-20T14:49:14+00:00,answer
823197374,2025-04-20T14:51:11+00:00,answer
5014501974,2025-04-20T14:52:30+00:00,help
5014501974,2025-04-20T14:52:56+00:00,start
5014501974,2025-04-20T14:54:58+00:00,answer
5014501974,2025-04-20T14:59:41+00:00,help
5014501974,2025-04-20T15:00:11+00:00,answer
823197374,2025-04-20T15:01:11+00:00,answer
5014501974,2025-04-20T15:02:19+00:00,start
823197374,2025-04-20T15:36:22+00:00,help
823197374,2025-04-20T15:37:14+00:00,start
823197374,2025-04-20T15:38:47+00:00,answer
